ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,MBEE8EX046,SCUOLA PRIMARIA,2,59,51,8,1,7
202425,GRRI001011,SCUOLA SECONDARIA II GRADO,2,21,20,1,0,1
202425,TSRC001509,SCUOLA SECONDARIA II GRADO,4,41,35,6,3,3
202425,SRRA021514,SCUOLA SECONDARIA II GRADO,4,25,24,1,0,1
202425,CNRC026016,SCUOLA SECONDARIA II GRADO,3,26,19,7,0,7
202425,CNEE82606A,SCUOLA PRIMARIA,3,17,13,4,3,1
202425,UDEE84205C,SCUOLA PRIMARIA,2,23,20,3,0,3
202425,FEEE81903P,SCUOLA PRIMARIA,4,46,37,9,0,9
202425,CHEE839014,SCUOLA PRIMARIA,5,49,49,0,0,0
202425,VAPS012016,SCUOLA SECONDARIA II GRADO,1,190,182,8,3,5
202425,BNMM86101E,SCUOLA SECONDARIA I GRADO,1,134,129,5,0,5
202425,PGRC01401X,SCUOLA SECONDARIA II GRADO,5,30,18,12,0,12
202425,TVEE86105D,SCUOLA PRIMARIA,5,54,41,13,8,5
202425,PEMM81001X,SCUOLA SECONDARIA I GRADO,2,34,32,2,0,2
202425,SIEE821029,SCUOLA PRIMARIA,5,11,9,2,0,2
202425,FGRH100008,SCUOLA SECONDARIA II GRADO,2,120,114,6,3,3
202425,CBMM819019,SCUOLA SECONDARIA I GRADO,2,42,42,0,0,0
202425,VREE890033,SCUOLA PRIMARIA,3,29,26,3,2,1
202425,ARTD001017,SCUOLA SECONDARIA II GRADO,2,47,42,5,2,3
202425,PTEE82803E,SCUOLA PRIMARIA,4,49,48,1,0,1
202425,MIMM8E601C,SCUOLA SECONDARIA I GRADO,3,81,76,5,1,4
202425,CAEE87703T,SCUOLA PRIMARIA,4,25,25,0,0,0
202425,MTRA00401T,SCUOLA SECONDARIA II GRADO,5,22,22,0,0,0
202425,LCEE829046,SCUOLA PRIMARIA,4,18,16,2,0,2
202425,SAPS01000G,SCUOLA SECONDARIA II GRADO,3,111,111,0,0,0
202425,ALEE811068,SCUOLA PRIMARIA,1,8,2,6,3,3
202425,VASL040006,SCUOLA SECONDARIA II GRADO,5,132,129,3,0,3
202425,BSEE8AE015,SCUOLA PRIMARIA,5,43,32,11,0,11
202425,PTPM02000A,SCUOLA SECONDARIA II GRADO,2,151,141,10,1,9
202425,PVEE810052,SCUOLA PRIMARIA,5,7,6,1,0,1
202425,VVEE81211C,SCUOLA PRIMARIA,3,14,14,0,0,0
202425,ISRH016018,SCUOLA SECONDARIA II GRADO,2,7,6,1,0,1
202425,ANEE828024,SCUOLA PRIMARIA,3,22,18,4,1,3
202425,PAEE81403X,SCUOLA PRIMARIA,1,7,7,0,0,0
202425,GOEE80301Q,SCUOLA PRIMARIA,2,24,1,23,1,22
202425,BSEE86403C,SCUOLA PRIMARIA,4,15,10,5,0,5
202425,TEEE819023,SCUOLA PRIMARIA,1,11,11,0,0,0
202425,CHPS02000E,SCUOLA SECONDARIA II GRADO,1,240,234,6,1,5
202425,NAEE8AL03G,SCUOLA PRIMARIA,4,20,19,1,1,0
202425,MCEE82803V,SCUOLA PRIMARIA,1,21,14,7,0,7
202425,CERH00602B,SCUOLA SECONDARIA II GRADO,1,44,37,7,0,7
202425,NAEE8BX046,SCUOLA PRIMARIA,5,30,29,1,0,1
202425,CNEE83604V,SCUOLA PRIMARIA,1,8,8,0,0,0
202425,CTEE85001C,SCUOLA PRIMARIA,2,78,74,4,3,1
202425,BLEE82004T,SCUOLA PRIMARIA,4,16,15,1,0,1
202425,BNEE84402V,SCUOLA PRIMARIA,2,26,21,5,0,5
202425,CTSD02000E,SCUOLA SECONDARIA II GRADO,3,149,145,4,0,4
202425,BGEE839037,SCUOLA PRIMARIA,4,16,11,5,1,4
202425,MOMM82001V,SCUOLA SECONDARIA I GRADO,3,106,90,16,1,15
202425,ANRH01901E,SCUOLA SECONDARIA II GRADO,3,135,109,26,3,23
202425,VIEE821027,SCUOLA PRIMARIA,5,75,61,14,3,11
202425,SAMM8AS01P,SCUOLA SECONDARIA I GRADO,1,107,94,13,3,10
202425,SPPS01000C,SCUOLA SECONDARIA II GRADO,3,178,172,6,1,5
202425,SAEE8BM012,SCUOLA PRIMARIA,3,27,24,3,0,3
202425,RGEE83001E,SCUOLA PRIMARIA,5,36,32,4,0,4
202425,PSMM816012,SCUOLA SECONDARIA I GRADO,2,69,54,15,2,13
202425,PZEE886059,SCUOLA PRIMARIA,2,27,26,1,0,1
202425,PVMM81003V,SCUOLA SECONDARIA I GRADO,1,8,8,0,0,0
202425,CTEE86102X,SCUOLA PRIMARIA,1,63,63,0,0,0
202425,FRPS010009,SCUOLA SECONDARIA II GRADO,1,227,219,8,2,6
202425,MSRI01101D,SCUOLA SECONDARIA II GRADO,4,30,29,1,1,0
202425,BATF26000R,SCUOLA SECONDARIA II GRADO,2,151,147,4,0,4
202425,TOEE8B101E,SCUOLA PRIMARIA,5,87,40,47,16,31
202425,ANMM849013,SCUOLA SECONDARIA I GRADO,2,45,40,5,0,5
